month,text,is_political
1988-7,RACEWAY ERA: WHEN DOG DAYS BECAME TROTTER NIGHTS,0
1991-11,The Amish,0
2000-11,SPARE TIMES: FOR CHILDREN,1
1989-11,Ipalco Enterprises reports earnings for Qtr to Sept 30,0
1998-4,"Black Dancer Is a Forgotten Man No Longer; Found Wandering the Streets, He'll Soon Be Reunited With a Big Family",0
2004-12,"Paid Notice: Deaths   TANEY, GENELLE",0
1987-10,In the Region: Westchester and Connecticut; Upgrading Derelict Housing for Homeless,0
1997-10,Keller Will Miss Next Game,0
1988-4,Sarah R. Houghton to Marry Mark Grayson in December,0
2004-9,"No Stars, Just Cuffs",0
2005-8,"Correspondence | Rolling in Rubles; Paris Hilton, Meet Moscow Hilton",0
2004-6,China Opens a Window on the Really Big Ideas,0
2004-7,"Paid Notice: Deaths   ELLENBERG, JOAN",0
2001-2,"Paid Notice: Deaths  FOURNIER, JOSEPH E. MD.",0
1991-3,Book Notes,0
2005-10,Bruschi Has No Doubts He'll Return This Season,0
1987-4,Chips Are Up At Georgia,1
2002-2,World Business Briefing | Europe: Russia: Oil Strategy Emphasized,1
2005-9,For Sale: Roadside Fixture With Wary but Loyal Patrons,0
2003-9,CALENDAR,0
2000-3,Campaign Briefing,1
2001-12,Dead and Missing,0
1991-6,Summer in the City: An Adventurer's Guide,0
2007-3,Disposable Friendships And a Fight To the Finish,0
2004-1,Serenity Amid the Extremes of Passion,0
1991-1,Lord Einstein Founder To Join Unit of Lintas,0
1991-11,Traffic Alert,0
1995-4,"CONGRESS CREATES BOARD TO OVERSEE WASHINGTON, D.C.",1
1989-11,Proposed City Charter Raises Sharp Argument on Land Use,1
1997-2,Tyson Set to Join Ameritech Board,0
1987-2,BRUNSWICK CORP reports earnings for Qtr to Dec 31,0
1999-7,"Paid Notice: Deaths  MANDELBAUM, SYLVIA",0
1990-8,Russian Party Ranks Shrink,1
1998-9,Gift From Kohl in an Election Year: Temporary Work for East's Jobless,1
2002-8,Cart Collisions? Not When He's Directing Traffic,0
1998-12,Digging Down,0
2004-2,New & Noteworthy Paperbacks,0
2007-4,'Radicals for Capitalism',1
1993-7,"Last-Place Action Heroes Win, Barely",0
1999-10,Correction,0
1994-4,On Sunday; Shared Lives Won't Accept Eternity Apart,0
1992-8,"Catherine Barto, C. John Meyer",0
2002-8,August 11-17: NATIONAL; NOT SO FAST,1
1992-12,BRIEFS,0
1989-6,Columnist Accused Unjustly Over Israel,1
2006-7,No Progress On Resolving Tax Standoff,1
1990-5,Appreciating the Choreographer's Palette,0
1989-5,No Headline,0
2005-5,"For These Worshipers, It's Jesus Tattoos and Praise the Lord",1
1997-4,"Paid Notice: Deaths  MURPHY, CAROLYN",0
